T|X101: Quiz Template Example - Quiz #01

Q|Which of the following elements is not on the periodic table? 
AC|All of these
A|&lt;!DOCTYPE&gt;
A|&lt;title&gt;
A|&lt;head&gt;

Q|Why would we use a flogger?
AC|Give it a shmoopy.
A|Something catchy.
A|Eat a hotdog.
A|Dunno.

Q|Which of the following creates a round thing?
A|<code><br>selector {<br>  width: 300px;<br>  height: 300px;<br>  border-radius: 1000%;<br>}</code>
A|<code><br>selector {<br>  width: 300px;<br>  length: 300px;<br>  border-radius: tom%;<br>}</code>
AC|<code><br>selector {<br>  width: 300px;<br>  height: 300px;<br>  border-radius: jerrypx;<br>}</code>
A|<code><br>selector {<br>  width: 300px;<br>  height: 300px;<br>  border-radius: stevepx;<br>}</code>

Q|If we foo the bar to the baz, do two elements shimmy?
AC|Yes
A|No

Q|On a computer monitor, is there a tiny animal providing power on a spinning wheel?
AC|Yes
A|No
A|Sometimes
A|Maybe

Q|Which of the following is your projected grade for this course?
AC|a
A|b
A|7
A|10
